timestamp,market,trade_price,change_rate,acc_trade_volume
2025-09-22 13:18:06.652971,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:18:06.652979,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:18:06.652980,KRW-LSK,481.0,-0.0302419355,964746.3831203
2025-09-22 13:18:06.652981,KRW-BORA,121.0,-0.0162601626,4566098.22811514
2025-09-22 13:18:06.652982,KRW-PUNDIX,431.0,-0.0114678899,960329.10681987
2025-09-22 13:18:16.848582,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:18:16.848588,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:18:16.848589,KRW-LSK,481.0,-0.0302419355,964746.3831203
2025-09-22 13:18:16.848590,KRW-BORA,121.0,-0.0162601626,4566098.22811514
2025-09-22 13:18:16.848591,KRW-PUNDIX,431.0,-0.0114678899,960329.10681987
2025-09-22 13:18:27.140828,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:18:27.140841,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:18:27.140844,KRW-LSK,481.0,-0.0302419355,964746.3831203
2025-09-22 13:18:27.140846,KRW-BORA,120.0,-0.0243902439,4582739.50031026
2025-09-22 13:18:27.140849,KRW-PUNDIX,432.0,-0.0091743119,963814.80681987
2025-09-22 13:18:37.639840,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:18:37.639847,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:18:37.639848,KRW-LSK,481.0,-0.0302419355,964746.3831203
2025-09-22 13:18:37.639849,KRW-BORA,120.0,-0.0243902439,4582739.50031026
2025-09-22 13:18:37.639850,KRW-PUNDIX,432.0,-0.0091743119,963814.80681987
2025-09-22 13:18:47.949965,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:18:47.949978,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:18:47.949981,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:18:47.949983,KRW-BORA,120.0,-0.0243902439,4582739.50031026
2025-09-22 13:18:47.949985,KRW-PUNDIX,432.0,-0.0091743119,963814.80681987
2025-09-22 13:18:58.257182,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:18:58.257191,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:18:58.257192,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:18:58.257193,KRW-BORA,120.0,-0.0243902439,4582739.50031026
2025-09-22 13:18:58.257194,KRW-PUNDIX,432.0,-0.0091743119,963814.80681987
2025-09-22 13:19:08.549598,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:19:08.549609,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:19:08.549610,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:19:08.549611,KRW-BORA,120.0,-0.0243902439,4582739.50031026
2025-09-22 13:19:08.549612,KRW-PUNDIX,432.0,-0.0091743119,963814.80681987
2025-09-22 13:19:18.949988,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:19:18.949997,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:19:18.949998,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:19:18.949999,KRW-BORA,120.0,-0.0243902439,4591072.8336436
2025-09-22 13:19:18.950000,KRW-PUNDIX,432.0,-0.0091743119,963814.80681987
2025-09-22 13:19:29.340164,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:19:29.340174,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:19:29.340175,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:19:29.340175,KRW-BORA,120.0,-0.0243902439,4591867.74197455
2025-09-22 13:19:29.340176,KRW-PUNDIX,431.0,-0.0114678899,964296.17533101
2025-09-22 13:19:39.467417,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:19:39.467423,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:19:39.467425,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:19:39.467425,KRW-BORA,120.0,-0.0243902439,4594307.59521865
2025-09-22 13:19:39.467426,KRW-PUNDIX,431.0,-0.0114678899,964296.17533101
2025-09-22 13:19:49.840725,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:19:49.840733,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:19:49.840734,KRW-LSK,481.0,-0.0302419355,975195.54057191
2025-09-22 13:19:49.840735,KRW-BORA,120.0,-0.0243902439,4594307.59521865
2025-09-22 13:19:49.840736,KRW-PUNDIX,431.0,-0.0114678899,966386.19003162
2025-09-22 13:20:00.154251,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:20:00.154262,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:20:00.154264,KRW-LSK,482.0,-0.0282258065,975247.57586784
2025-09-22 13:20:00.154266,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:20:00.154268,KRW-PUNDIX,431.0,-0.0114678899,966386.19003162
2025-09-22 13:20:10.339428,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:20:10.339444,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:20:10.339447,KRW-LSK,482.0,-0.0282258065,975247.57586784
2025-09-22 13:20:10.339449,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:20:10.339451,KRW-PUNDIX,431.0,-0.0114678899,966386.19003162
2025-09-22 13:20:20.562932,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:20:20.562940,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:20:20.562941,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:20:20.562941,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:20:20.562942,KRW-PUNDIX,432.0,-0.0091743119,966788.29003162
2025-09-22 13:20:30.772934,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:20:30.772941,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:20:30.772943,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:20:30.772944,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:20:30.772945,KRW-PUNDIX,432.0,-0.0091743119,966788.29003162
2025-09-22 13:20:41.140429,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:20:41.140438,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:20:41.140439,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:20:41.140440,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:20:41.140440,KRW-PUNDIX,432.0,-0.0091743119,966788.29003162
2025-09-22 13:20:51.548830,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:20:51.548838,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:20:51.548839,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:20:51.548840,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:20:51.548841,KRW-PUNDIX,432.0,-0.0091743119,966788.29003162
2025-09-22 13:21:01.748542,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:21:01.748552,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:21:01.748553,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:21:01.748554,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:21:01.748555,KRW-PUNDIX,432.0,-0.0091743119,966788.29003162
2025-09-22 13:21:12.147718,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:21:12.147729,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:21:12.147732,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:21:12.147733,KRW-BORA,120.0,-0.0243902439,4594615.59521865
2025-09-22 13:21:12.147735,KRW-PUNDIX,431.0,-0.0114678899,967274.40114273
2025-09-22 13:21:22.275595,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:21:22.275602,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:21:22.275603,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:21:22.275604,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:21:22.275604,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:21:32.640459,KRW-WAXP,26.4,-0.0222222222,12325201.08028565
2025-09-22 13:21:32.640467,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:21:32.640468,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:21:32.640469,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:21:32.640469,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:21:42.848862,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:21:42.848871,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:21:42.848872,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:21:42.848873,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:21:42.848874,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:21:53.165199,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:21:53.165206,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:21:53.165207,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:21:53.165208,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:21:53.165209,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:22:03.268968,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:22:03.268975,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:22:03.268977,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:22:03.268978,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:22:03.268979,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:22:13.548175,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:22:13.548183,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:22:13.548185,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:22:13.548185,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:22:13.548186,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:22:23.951551,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:22:23.951559,KRW-CARV,421.0,-0.0453514739,2362737.50945522
2025-09-22 13:22:23.951560,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:22:23.951560,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:22:23.951561,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:22:34.356158,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:22:34.356167,KRW-CARV,420.0,-0.0476190476,2363518.7858996
2025-09-22 13:22:34.356169,KRW-LSK,482.0,-0.0282258065,975257.98665622
2025-09-22 13:22:34.356169,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:22:34.356170,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:22:44.640745,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:22:44.640753,KRW-CARV,420.0,-0.0476190476,2363518.7858996
2025-09-22 13:22:44.640754,KRW-LSK,481.0,-0.0302419355,975510.88867799
2025-09-22 13:22:44.640755,KRW-BORA,120.0,-0.0243902439,4595522.49836465
2025-09-22 13:22:44.640756,KRW-PUNDIX,432.0,-0.0091743119,969542.80114273
2025-09-22 13:22:54.952301,KRW-WAXP,26.4,-0.0222222222,12336564.71664928
2025-09-22 13:22:54.952310,KRW-CARV,420.0,-0.0476190476,2363518.7858996
2025-09-22 13:22:54.952311,KRW-LSK,481.0,-0.0302419355,975510.88867799
2025-09-22 13:22:54.952312,KRW-BORA,120.0,-0.0243902439,4595522.49836465
